RA,Dec,Distance,Name,Max
352.12549999999993,22.427444444444447,49.0,SN2002dp,2002/06/21
342.75416666666666,31.373055555555556,99.0,SN2002dr,2002/06/24
36.53520833333334,31.912555555555553,75.0,SN2002eh,2002/08/01
314.12537499999996,-18.559527777777777,95.0,SN2002el,2002/08/25
257.87449999999995,7.995777777777778,34.0,SN2002er,2002/09/06
50.94679166666666,40.56486111111111,75.0,SN2002es,2002/08/31
302.12924999999996,-25.460416666666667,54.0,SN2002et,2002/08/24
29.453749999999996,36.34063888888889,68.0,SN2002fb,2002/09/09
50.52379166666666,-15.40088888888889,32.0,SN2002fk,2002/09/29
28.943999999999992,46.805388888888885,95.842,SN2002gc,2002/10/26
343.5895416666666,-45.340805555555555,35.0,SN2002ge,2002/10/07
204.61491666666663,-10.72025,99.0,SN2002H,2002/01/19
311.82741666666664,0.31266666666666665,62.0,SN2002ha,2002/10/28
171.16716666666665,38.7675,32.0,SN2002hl,2002/11/04
140.54545833333333,33.836333333333336,89.0,SN2002hv,2002/11/05
1.7044166666666667,8.63013888888889,78.6422,SN2002hw,2002/11/15
334.86999999999995,29.38458333333333,62.0,SN2002jg,2002/11/29
154.85499999999996,-5.654027777777778,80.801,SN2002jm,2002/12/06
219.56841666666662,40.45388888888889,40.91,SN2002jo,2002/12/10
142.67341666666667,-14.78202777777778,27.0,SN2002ka,2002/11/19
99.31379166666666,49.852833333333336,86.67,SN2002kf,2002/12/31
161.6534166666667,13.758944444444445,43.0,SN2003aa,2003/03/19
167.59037499999997,23.41413888888889,92.326,SN2003af,2003/02/08
153.56654166666664,3.4673611111111113,22.0,SN2003cg,2003/03/30
122.29637499999998,57.68722222222222,76.0,SN2003cp,2003/03/30
144.72299999999998,-4.851416666666666,99.4949,SN2003D,2003/01/09
311.8231666666667,0.3118888888888889,62.0,SN2003dt,2003/04/21
218.64916666666664,59.33438888888889,33.0,SN2003du,2003/05/06
32.334291666666665,-23.41472222222222,57.0,SN2003em,2003/05/27
320.2805833333333,23.084944444444442,71.7,SN2003ep,2003/05/16
77.88745833333333,17.05788888888889,77.302,SN2003F,2003/01/11
